DBH,61.3,62.3,60.8,61.3,61.7,-0.4,107,2.324,37768
DBH1STMF,7.2,7.3,7.1,7.2,7.2,0.0,26,0.201,27881
DESCO,38.1,38.8,37.7,38.1,38.1,0.0,167,3.212,84358
DESHBANDHU,18.0,18.5,17.9,18.0,18.1,-0.1,130,2.495,138493
DGIC,29.8,30.5,29.6,29.8,30.1,-0.3,74,1.162,38903
DHAKABANK,13.2,13.3,13.1,13.2,13.1,0.1,36,0.698,52961
DHAKAINS,54.8,56.9,54.4,54.8,55.5,-0.7,101,2.73,49883
DOMINAGE,22.5,23.1,22.4,22.5,22.8,-0.3,243,6.325,278656
DOREENPWR,76.4,76.5,75.7,75.9,76.5,-0.1,291,8.635,113732
DSHGARME,165.3,168.7,164.8,165.3,165.9,-0.6,398,8.772,52841
DSSL,17.6,17.9,17.5,17.6,17.7,-0.1,521,19.823,1122265
DUTCHBANGL,64.0,64.9,63.8,64.0,64.3,-0.3,158,4.183,65282
EASTERNINS,60.4,62.0,60.4,60.4,61.6,-1.2,180,2.634,43454
EASTLAND,28.4,29.3,28.4,28.4,28.7,-0.3,158,2.842,99270
EASTRNLUB,1856.0,1900.0,1854.4,1856.0,1882.3,-26.3,292,2.782,1493
EBL,32.3,32.9,32.0,32.3,32.6,-0.3,107,1.425,44345
EBL1STMF,7.5,7.5,7.4,7.4,7.5,0.0,15,0.101,13652
EBLNRBMF,6.3,6.4,6.2,6.3,6.3,0.0,35,0.903,143323
EGEN,44.5,45.3,44.5,44.7,45.3,-0.8,50,0.483,10830
EHL,58.2,59.2,57.8,58.2,58.9,-0.7,565,23.146,397767
EIL,29.9,31.4,29.9,29.9,30.5,-0.6,225,5.567,185863
EMERALDOIL,45.5,45.6,43.8,45.5,43.1,2.4,1651,68.122,1516368
ENVOYTEX,44.5,45.7,44.5,44.8,44.8,-0.3,84,1.873,41656
EPGL,38.5,38.6,37.5,38.3,38.0,0.5,139,2.672,69694
ESQUIRENIT,33.5,34.0,33.1,33.6,33.7,-0.2,139,2.194,65753
EXIM1STMF,5.9,6.1,5.9,5.9,5.9,0.0,56,2.119,358275
EXIMBANK,11.1,11.3,11.1,11.1,11.3,-0.2,231,9.053,812422
FBFIF,5.1,5.2,5.1,5.1,5.1,0.0,68,3.059,593194
FEDERALINS,27.9,28.4,27.9,28.0,28.4,-0.5,139,1.391,49683
FEKDIL,17.8,17.8,17.4,17.7,17.5,0.3,103,1.981,112678
FIRSTSBANK,10.4,10.4,10.3,10.4,10.4,0.0,253,11.039,1066350
FORTUNE,95.2,99.4,95.2,95.2,97.1,-1.9,672,28.69,299572
FUWANGCER,19.5,19.6,19.0,19.5,19.0,0.5,1335,53.216,2747311
GBBPOWER,21.3,21.8,21.3,21.3,21.7,-0.4,472,11.947,556764
GEMINISEA,348.6,359.0,348.1,348.6,355.0,-6.4,759,19.314,54997
GENEXIL,77.1,79.2,77.1,77.1,78.6,-1.5,980,31.741,408714
GLOBALINS,37.2,37.9,37.2,37.2,37.9,-0.7,142,2.744,73669
GOLDENSON,16.8,17.2,16.7,16.7,16.8,0.0,198,4.002,238234
GP,305.6,305.9,304.2,305.6,303.7,1.9,329,11.511,37683
GPHISPAT,52.4,53.9,52.3,52.4,52.7,-0.3,719,32.2,612755
GRAMEENS2,15.7,16.2,15.7,15.7,15.7,0.0,16,0.196,12460
GREENDELMF,7.0,7.1,7.0,7.0,7.1,-0.1,49,0.35,49840
GREENDELT,71.0,72.1,71.0,71.6,72.0,-1.0,147,4.386,61522
GSPFINANCE,31.1,31.4,30.2,31.1,30.4,0.7,1018,40.648,1320497
HRTEX,98.6,99.8,98.6,98.6,100.6,-2.0,453,47.103,477383
HWAWELLTEX,45.0,45.3,45.0,45.0,45.0,0.0,53,1.104,24496
IBNSINA,292.2,300.0,284.4,292.2,284.4,7.8,135,5.466,18790
IBP,17.4,17.7,17.4,17.4,17.5,-0.1,170,3.381,193727
ICB,97.2,98.1,97.0,97.8,97.4,-0.2,135,2.129,21857
ICB3RDNRB,6.8,7.0,6.8,6.8,6.9,-0.1,26,0.282,41250
ICBAGRANI1,9.3,9.3,9.3,9.3,9.4,-0.1,5,0.21,22532
ICBAMCL2ND,8.9,9.0,8.8,8.9,8.8,0.1,52,1.037,116471
ICBEPMF1S1,7.1,7.2,7.0,7.1,7.1,0.0,11,0.083,11665
ICBSONALI1,8.3,8.4,8.1,8.2,8.0,0.3,5,0.026,3211
IDLC,48.3,48.8,48.0,48.1,48.5,-0.2,236,5.255,108973
IFADAUTOS,49.6,51.0,49.5,49.6,49.6,0.0,217,5.054,101867
IFIC,12.0,12.2,11.9,12.0,12.0,0.0,494,22.341,1852269
IFIC1STMF,5.3,5.5,5.3,5.3,5.4,-0.1,42,0.864,161547
IFILISLMF1,6.6,6.6,6.5,6.6,6.5,0.1,16,0.073,11160
INDEXAGRO,102.9,103.1,101.1,102.7,102.0,0.9,93,1.887,18397
INTECH,29.4,30.5,29.2,29.4,29.6,-0.2,303,5.994,202363
INTRACO,20.3,20.7,20.2,20.3,20.4,-0.1,119,5.71,280272
IPDC,56.1,57.2,55.7,56.1,56.8,-0.7,399,119.107,2129267
ISLAMIBANK,32.8,32.8,32.5,32.7,32.8,0.0,203,6.323,193706
ISLAMICFIN,21.5,22.6,21.4,21.5,21.8,-0.3,147,3.203,147774
